PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
IbB0h,6k1/5p2/r1n1pBp1/4Nn1p/8/4P2P/5PPK/2R5 b - - 1 29,c6e5 c1c8 g8h7 c8h8,664,99,98,3136,endgame mate mateIn2 operaMate short,https://lichess.org/iqv0V89E/black#58,
VzAQr,r1b1k2r/pp1p1ppp/4p3/4P3/3q4/3B4/P3KPPP/R2QR3 b kq - 1 14,e8g8 d3h7 g8h7 d1d4,664,88,97,3134,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/CX6hJQqR/black#28,Sicilian_Defense Sicilian_Defense_Alapin_Variation
j6IdA,8/6kp/8/1Bp3p1/P1P3P1/7r/1p3K2/1R6 w - - 0 46,b1b2 h3h2 f2e3 h2b2,695,83,96,3134,advantage endgame short skewer,https://lichess.org/8q2jmQjk#91,
3mTvR,r6r/pp2Nppk/8/8/5P2/3P4/P3P1K1/5R2 b - - 0 31,a8e8 f1h1,694,102,93,3130,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/awXfekpY/black#62,
x8o6s,2r2k1r/ppqn1pbp/6p1/3Q1N2/8/1P4P1/P1PP1PBP/2KR2NR w - - 1 16,f5g7 c7c2,665,82,92,3110,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/9j41Fqey#31,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
i202s,rnbqkb1r/ppp3pp/3p4/3Qp3/2B1n3/1P3N2/P1P2PPP/RNB1K2R b KQkq - 1 7,e4f6 d5f7,665,110,96,3095,mate mateIn1 oneMove opening,https://lichess.org/Oc77WiyI/black#14,
tmn8f,r1bq1rk1/1p3pp1/p6p/3Nn3/1P6/P2BP1P1/5PP1/R2Q1RK1 b - - 0 16,d8d5 d3h7 g8h7 d1d5,680,85,98,3094,crushing discoveredAttack middlegame short,https://lichess.org/nYjzXBTf/black#32,Slav_Defense Slav_Defense_Other_variations
Zfbd3,r1b3k1/p1b2rpp/1p2N3/5p2/1P2pN2/P3PnP1/1B3P1P/R2R3K b - - 4 20,c7f4 d1d8 f7f8 d8f8,696,92,99,3082,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/9nfsg1yH/black#40,
Pg6dw,r4r1k/qb1R1p2/p4NQp/1pb1pN2/4P3/1n5P/PP3PP1/R5K1 b - - 0 24,f7g6 d7h7,673,89,92,3081,arabianMate master mate mateIn1 middlegame oneMove,https://lichess.org/QnSQyimB/black#48,
RWFL4,8/6p1/pp6/8/5k2/1r5P/1P3RK1/8 b - - 13 49,f4e3 f2f3 e3d2 f3b3,638,103,94,3077,crushing endgame rookEndgame short skewer,https://lichess.org/ChjSYZLP/black#98,
r23al,5r1k/pp1R1Qp1/2p3Pp/4p3/4P3/6Pq/PP5P/6K1 b - - 4 32,f8f7 d7d8 f7f8 d8f8,661,85,98,3076,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/2A3IsVgC/black#64,
hTf4E,1k4nr/pp4qp/8/2N5/2R5/4P3/PP5P/5K2 b - - 0 31,g7b2 c5d7 b8a8 c4c8,692,88,98,3074,backRankMate endgame mate mateIn2 short,https://lichess.org/7XYbg0oL/black#62,
M6esl,8/4np2/7p/1PK5/5k2/7P/8/8 b - - 1 53,f4e5 b5b6 e7g6 b6b7,642,93,96,3069,advancedPawn crushing endgame knightEndgame short,https://lichess.org/IDdL37nE/black#106,
x19Cg,r1bqk2r/ppNp1p2/3b1n1p/7Q/2BnPp1P/8/PPP3P1/R1B2RK1 b kq - 0 12,d6c7 h5f7,648,110,95,3063,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/IoWSaRQU/black#24,Vienna_Game Vienna_Game_Vienna_Gambit
cSq0q,2Rbr3/p4ppk/7p/8/1Q6/8/P3rPPP/3R2K1 w - - 18 32,d1d8 e2e1 b4e1 e8e1,697,96,96,3061,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/n2AhbpwU#63,
GcTri,6k1/3b1qpp/1rp5/3p1pP1/1b1P1P2/1Q1BP3/8/R3K2R w KQ - 0 26,e1f2 b4e1 f2e1 b6b3,676,93,96,3056,crushing discoveredAttack middlegame short,https://lichess.org/Eat8XSz7#51,
UHfcR,r5k1/5ppp/p3p3/2Rp4/3Pn3/1P1qP3/P2B1PPP/2Q3K1 b - - 2 21,d3d2 c5c8 a8c8 c1c8,637,96,97,3050,backRankMate endgame mate mateIn2 short,https://lichess.org/Ei4Jymd5/black#42,
FWt8l,r3kb1r/pb3ppp/3p4/3pQ1B1/7P/8/PP3PP1/R3KB1R b KQkq - 0 15,d6e5 f1b5 b7c6 b5c6,624,105,96,3043,bodenMate mate mateIn2 middlegame short,https://lichess.org/OVclSox4/black#30,Scotch_Game Scotch_Game_Mieses_Variation
RqeKr,8/7p/pB3kp1/P7/3P3P/4K3/8/7r b - - 14 56,h1h4 b6d8 f6e6 d8h4,680,96,95,3041,crushing endgame short skewer,https://lichess.org/UwzF5kT9/black#112,
8fcsq,8/8/5k1p/p3rpp1/3K4/4P3/R4PPP/8 w - - 6 35,a2a4 e5e4 d4c5 e4a4,658,103,96,3037,crushing endgame rookEndgame short skewer,https://lichess.org/Hys4LXMq#69,
fbXtE,6k1/pp3p2/2P3pp/P3Pb2/5P2/3r2P1/2n3BP/2R3K1 w - - 0 38,c1c2 d3d1 g1f2 f5c2,673,86,96,3027,advantage discoveredAttack endgame short,https://lichess.org/0mtw7jrJ#75,
oKI44,8/8/1ppk3p/1p1n1p2/1P2KP2/P5P1/7P/5B2 w - - 0 36,e4f5 d5e3 f5g6 e3f1,653,84,97,3021,crushing endgame fork short,https://lichess.org/ZVS8uaGy#71,
1ZxkV,r1bqkb1r/p1p2ppp/2p5/3pN3/4n3/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 7,f8d6 f3f7,650,115,96,3019,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/8mudJHJO/black#14,
4X3k2,2kr3r/pppqn1pp/1bn5/4p1P1/1P1pP2P/P2P3R/2PNB3/R1BQK3 b Q - 0 15,d7h3 e2g4 h3g4 d1g4,646,82,90,3016,advantage fork middlegame short,https://lichess.org/MTqNxYFm/black#30,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
hXOaf,3r2k1/3P1ppp/1p2p3/1P6/Pn3P2/6PP/5KB1/3R4 w - - 1 34,d1c1 b4d3 f2e3 d3c1,633,89,96,3009,crushing endgame fork short,https://lichess.org/gtnHCmZI#67,
yOxSW,1R6/5ppk/7p/2P5/8/1K1P2P1/8/7r w - - 1 32,c5c6 h1b1 b3c4 b1b8,671,87,96,3005,crushing endgame rookEndgame short skewer,https://lichess.org/NxGI6Wvo#63,
